"REF";"TAM";"REF_CLIENTE"
"979";"G";512231072
"979";"GG";512231081
"979";"M";512231099
"982";"G";535505515
"982";"GG";535505523
"982";"M";535505507
"982";"P";535505574
"4311";"G";543082170
"4311";"GG";543082188
"4311";"M";543082161
"4311";"P";543082153
"2156R";"EG";543216422
"2156R";"G";536659997
"2156R";"GG";536660007
"2156R";"M";536659989
"2156R";"P";536659971
"619R";"EG";541910218
"619R";"G";538202843
"619R";"GG";538202851
"619R";"M";538202835
"619R";"P";538202827
"620R";"EG";541910200
"620R";"G";535718772
"620R";"GG";535718799
"620R";"M";535718748
"620R";"P";535717729
"627RR";"G";535718772
"627RR";"GG";535718799
"627RR";"M";535718748
"627RR";"P";535717729
"717R";"G";542344271
"717R";"GG";542344289
"717R";"M";542344262
"717R";"P";542344254
"718R";"G";526990361
"718R";"GG";526990379
"718R";"M";526990352
"718R";"P";526990344
