"NCM";"DESCRICAO";"DETALHE"
"61051000";"CAMISA MALHA ALGODAO";"CAMISAS DE MALHA, DE USO MASCULINO DE ALGODAO"
"61052000";"CAMISA MALHA SINTETICA";"CAMISAS DE MALHA, DE USO MASCULINO, DE FIBRAS SINTETICAS OU ARTIFICIAIS"
"61071100";"CUECA ALGODAO";"CUECAS DE ALGODAO"
"61071200";"CUECA FIBRAS SINTETICAS";"CUECAS DE FIBRAS SINTETICAS OU ARTIFICIAIS"
"61072100";"PIJAMA ALGODAO";"PIJAMAS DE ALGODAO"
"61072200";"PIJAMA FIBRAS SINTETICAS";"PIJAMAS DE FIBRAS SINTETICAS OU ARTIFICIAIS"
"61082100";"CALCINHA ALGODAO";"CALCINHAS DE ALGODAO"
"61091000";"CAMISETA ALGODAO";"CAMISETAS DE ALGODAO"
"61099000";"CAMISETA OUTROS MATERIAIS";"CAMISETAS DE OUTROS MATERIAIS TEXTEIS"
"61123100";"SUNGA FIBRAS SINTETICAS";"SUNGAS DE FIBRAS SINTETICAS"
"61123900";"SUNGA OUTROS MATERIAIS";"SUNGAS DE OUTROS MATERIAIS TEXTEIS"
"61159500";"MEIA ALTA OUTRAS ALGODAO";"OUTRAS MEIAS ALTAS DE ALGODAO"
