"ARTIGO";"NIVEL_ESTRUTURA";"DESCR_ARTIGO"
0000;"1";"."
1001;"1";"CAMISA CURTA"
1002;"1";"CAMISA LONGA"
1003;"1";"CUECA BOXER"
1004;"1";"CUECA SAMBA"
1005;"1";"CUECA SEM COSTURA"
1006;"1";"CUECA SLIP"
1007;"1";"CUECA SUNGAO"
1008;"1";"KIT CUECA BOXER"
1009;"1";"KIT CUECA SAMBA"
1010;"1";"KIT CUECA SEM COSTURA"
1011;"1";"KIT CUECA SLIP"
1012;"1";"KIT CUECA SUNGAO"
1013;"1";"KIT MEIA CANO CURTO"
1014;"1";"KIT MEIA INVISIVEL"
1015;"1";"PIJAMA LONGO"
1016;"1";"PIJAMA CURTO"
1017;"1";"PIJAMA REGATA"
1018;"1";"SUNGA BASICA"
1019;"1";"SUNGA BOXER"
1020;"1";"SUNGA SUNGAO"
1021;"1";"KIT SUNGA BASICA"
1022;"1";"KIT SUNGA BOXER"
1023;"1";"KIT SUNGA SUNGAO"
