"TAMANHO_REF";"DESCR_TAMANHO";"ORDEM_TAMANHO"
"PP";"PP";110
"P";"P";120
"M";"M";130
"G";"G";140
"GG";"GG";150
"EG";"EG";160
"35-";"35-38";310
"39-";"39-43";320
"1";"1";901
"2";"2";902
"3";"3";903
"4";"4";904
"5";"5";905
"6";"6";906
"7";"7";907
"8";"8";908
"9";"9";909
"10";"10";910
"11";"11";911
"12";"12";912
"13";"13";913
"14";"14";914
"15";"15";915
"16";"16";916
"17";"17";917
"18";"18";918
"19";"19";919
"20";"20";920
"21";"21";921
"22";"22";922
"23";"23";923
"24";"24";924
"25";"25";925
"26";"26";926
"27";"27";927
"28";"28";928
"29";"29";929
"30";"30";930
"31";"31";931
"32";"32";932
"33";"33";933
"34";"34";934
"35";"35";935
"36";"36";936
"37";"37";937
"38";"38";938
"39";"39";939
"40";"40";940
"41";"41";941
"42";"42";942
"43";"43";943
"44";"44";944
"45";"45";945
"46";"46";946
"47";"47";947
"48";"48";948
"49";"49";949
"50";"50";950
"UN";"UNICO";999
